"id","publishDate","category","size","price","region","court","bailiff","period","ends","href","address","pricePerMeter"
"14909","20 януари 2021 г. в 10:45 часа","Тристаен апартамент","88.03","20000.00","гр. Чирпан","гр. Стара Загора","Гергана Димитрова Илчева","от 05.03.2021 до 05.04.2021","06.04.2021 10:00","https://sales.bcpea.org/properties/14909","ул. 'Пейо Яворов' № 18 вх. Б ет. 5","227.19527433829376"
"13920","6 януари 2021 г. в 16:16 часа","Парцел","4899.00","1588.00","с. Черковица","гр. Плевен","Цветозар Найденов Найденов","от 05.03.2021 до 05.04.2021","06.04.2021 10:00","https://sales.bcpea.org/properties/13920","Цветозар Найденов Найденов","0.3241477852622984"
"13919","6 януари 2021 г. в 16:14 часа","Парцел","2500.00","810.00","с. Любеново","гр. Плевен","Цветозар Найденов Найденов","от 05.03.2021 до 05.04.2021","06.04.2021 10:00","https://sales.bcpea.org/properties/13919","Цветозар Найденов Найденов","0.324"
"13840","6 януари 2021 г. в 11:04 часа","Парцел","3590.00","68000.00","гр. Плевен","гр. Плевен","Цветозар Найденов Найденов","от 05.03.2021 до 05.04.2021","06.04.2021 09:00","https://sales.bcpea.org/properties/13840","Цветозар Найденов Найденов","18.941504178272982"
"13832","6 януари 2021 г. в 10:52 часа","Заведение","237.68","28000.00","с. Рупци","гр. Плевен","Цветозар Найденов Найденов","от 05.03.2021 до 05.04.2021","06.04.2021 09:00","https://sales.bcpea.org/properties/13832","Цветозар Найденов Найденов","117.80545270952541"
"13802","5 януари 2021 г. в 16:47 часа","Парцел","6.00","30000.00","гр. Плевен","гр. Плевен","Цветозар Найденов Найденов","от 05.03.2021 до 05.04.2021","06.04.2021 10:10","https://sales.bcpea.org/properties/13802","Цветозар Найденов Найденов","5000"
"17627","22 февруари 2021 г. в 09:32 часа","Склад","123.00","34640.00","гр. Добрич","гр. Добрич","Лучия Тасева Тасева","от 02.03.2021 до 02.04.2021","05.04.2021 09:00","https://sales.bcpea.org/properties/17627","ул.'Хан Тервел' №176","281.6260162601626"
"17625","22 февруари 2021 г. в 09:27 часа","Други","76.00","20960.00","гр. Добрич","гр. Добрич","Лучия Тасева Тасева","от 02.03.2021 до 02.04.2021","05.04.2021 09:00","https://sales.bcpea.org/properties/17625","Лучия Тасева Тасева","275.7894736842105"
"17623","22 февруари 2021 г. в 09:19 часа","Склад","500.00","107440.00","гр. Добрич","гр. Добрич","Лучия Тасева Тасева","от 02.03.2021 до 02.04.2021","05.04.2021 09:00","https://sales.bcpea.org/properties/17623","ул.'Хан Тервел' №176","214.88"
"17622","22 февруари 2021 г. в 09:13 часа","Производствен имот","36.00","2880.00","гр. Добрич","гр. Добрич","Лучия Тасева Тасева","от 02.03.2021 до 02.04.2021","05.04.2021 09:00","https://sales.bcpea.org/properties/17622","ул.'Хан Тервел' №176","80"
"17620","22 февруари 2021 г. в 08:41 часа","Фабрика","291.60","223076.16","с. Приморци","гр. Добрич","Лучия Тасева Тасева","от 02.03.2021 до 02.04.2021","05.04.2021 09:00","https://sales.bcpea.org/properties/17620","Лучия Тасева Тасева","765.0074074074074"
"17237","16 февруари 2021 г. в 15:24 часа","Вила","23.50","4500.00","гр. Севлиево","гр. Габрово","Галина Владимировна Николова","от 02.03.2021 до 02.04.2021","05.04.2021 14:30","https://sales.bcpea.org/properties/17237","Галина Владимировна Николова","191.48936170212767"
"17236","16 февруари 2021 г. в 15:21 часа","Къща","80.00","6460.00","с. Ловнидол","гр. Габрово","Галина Владимировна Николова","от 02.03.2021 до 02.04.2021","05.04.2021 14:00","https://sales.bcpea.org/properties/17236","Галина Владимировна Николова","80.75"
"17235","16 февруари 2021 г. в 15:20 часа","Къща","93.00","4400.00","с. Ловнидол","гр. Габрово","Галина Владимировна Николова","от 02.03.2021 до 02.04.2021","05.04.2021 09:00","https://sales.bcpea.org/properties/17235","Галина Владимировна Николова","47.31182795698925"
"17234","16 февруари 2021 г. в 15:18 часа","Парцел","250.00","460.00","с. Ловнидол","гр. Габрово","Галина Владимировна Николова","от 02.03.2021 до 02.04.2021","05.04.2021 14:00","https://sales.bcpea.org/properties/17234","Галина Владимировна Николова","1.84"
"16277","4 февруари 2021 г. в 14:02 часа","Други","246.00","19872.00","гр. Ловеч","гр. Ловеч","Велислав Любомиров Петров","от 02.03.2021 до 02.04.2021","05.04.2021 14:00","https://sales.bcpea.org/properties/16277","ул. 'Осъмска' № 43","80.78048780487805"
"16273","4 февруари 2021 г. в 13:49 часа","Други","246.00","19872.00","гр. Ловеч","гр. Ловеч","Велислав Любомиров Петров","от 02.03.2021 до 02.04.2021","05.04.2021 14:00","https://sales.bcpea.org/properties/16273","ул. 'Осъмска' № 43","80.78048780487805"
"16271","4 февруари 2021 г. в 13:41 часа","Други","246.00","20160.00","гр. Ловеч","гр. Ловеч","Велислав Любомиров Петров","от 02.03.2021 до 02.04.2021","05.04.2021 14:00","https://sales.bcpea.org/properties/16271","ул. 'Осъмска' № 43","81.95121951219512"
"16267","4 февруари 2021 г. в 13:36 часа","Други","246.00","20160.00","гр. Ловеч","гр. Ловеч","Велислав Любомиров Петров","от 02.03.2021 до 02.04.2021","05.04.2021 14:00","https://sales.bcpea.org/properties/16267","ул. 'Осъмска' № 43","81.95121951219512"
"15959","2 февруари 2021 г. в 10:36 часа","Магазин","20.72","13950.00","гр. Велико Търново","гр. Велико Търново","Силвия Велчева Косева","от 02.03.2021 до 02.04.2021","05.04.2021 09:00","https://sales.bcpea.org/properties/15959","ул. Стефан Стамболов № 50","673.2625482625483"
"17688","22 февруари 2021 г. в 16:55 часа","Парцел","1600.00","5464.80","с. Бъзън","гр. Русе","Венцислав Йорданов Маринов","от 01.03.2021 до 01.04.2021","02.04.2021 10:00","https://sales.bcpea.org/properties/17688","ИД 174/2020г. - с. Бъзън","3.4155"
"17686","22 февруари 2021 г. в 16:53 часа","Тристаен апартамент","94.28","83100.00","гр. Русе","гр. Русе","Иван Иванов Хаджииванов","от 01.03.2021 до 01.04.2021","02.04.2021 09:00","https://sales.bcpea.org/properties/17686","град Русе община Русе област Русе квартал Родина – 3 ул. Милкова ливада № 16 блок № 3 вх. 2 ет. 3 ап. № 6","881.417055579126"
"17685","22 февруари 2021 г. в 16:48 часа","Парцел","978.00","3742.00","с. Бъзън","гр. Русе","Венцислав Йорданов Маринов","от 01.03.2021 до 01.04.2021","02.04.2021 10:00","https://sales.bcpea.org/properties/17685","ИД 174/2020г. - с. Бъзън","3.826175869120654"
"17635","22 февруари 2021 г. в 09:57 часа","Едностаен апартамент","41.00","7056.00","гр. Лом","гр. Монтана","Мая Цветанова Иванова","от 01.03.2021 до 01.04.2021","02.04.2021 13:30","https://sales.bcpea.org/properties/17635","ул. Призрен №31 вх. Д ет.7 ап.60","172.09756097560975"
"17634","22 февруари 2021 г. в 09:51 часа","Парцел","335.00","20116.80","гр. Лом","гр. Монтана","Мая Цветанова Иванова","от 01.03.2021 до 01.04.2021","02.04.2021 13:00","https://sales.bcpea.org/properties/17634","ул. Беласица №28","60.05014925373134"
"17631","22 февруари 2021 г. в 09:43 часа","Двустаен апартамент","61.00","18273.60","гр. Лом","гр. Монтана","Мая Цветанова Иванова","от 01.03.2021 до 01.04.2021","02.04.2021 10:30","https://sales.bcpea.org/properties/17631","ул. Призрен №31 вх.Е ет.4 ап.12","299.56721311475405"
"17630","22 февруари 2021 г. в 09:37 часа","Многостаен апартамент","116.39","36792.00","гр. Лом","гр. Монтана","Мая Цветанова Иванова","от 01.03.2021 до 01.04.2021","02.04.2021 11:00","https://sales.bcpea.org/properties/17630","ул. Цар Петър №8 вх.Б ет.7 ап.20","316.1096314116333"
"17605","19 февруари 2021 г. в 18:42 часа","Магазин","89.26","96228.00","гр. София","гр. София град","Росица Иванова Апостолова","от 01.03.2021 до 01.04.2021","02.04.2021 10:30","https://sales.bcpea.org/properties/17605","ул. Ворино № 21 вх.Б сутеренен етаж маг.4","1078.0640824557472"
